1	40944
2	14307
3	8388
4	6098
5	4894
6	4049
7	3571
8	3181
9	2981
10	2798
11	2640
12	2799
13	2916
14	3917
15	16487
16	4310
17	1586
18	897
19	678
20	527
21	457
22	420
23	366
24	311
25	296
26	264
27	228
28	175
29	167
30	152
31	148
32	108
33	96
34	83
35	76
36	66
37	43
38	45
39	39
40	21
41	28
42	28
43	36
44	19
45	28
46	10
47	9
48	14
49	13
50	8
51	2
52	7
53	7
54	3
55	6
56	8
57	6
58	6
59	5
60	7
61	3
62	3
63	1
64	5
65	3
66	3
67	4
68	2
69	3
70	2
71	3
73	1
74	1
75	2
76	2
78	1
81	3
82	2
83	1
84	1
86	1
87	2
88	1
92	1
93	1
95	1
97	2
104	1
105	1
116	1
123	1
136	1
141	1
