1	23511
2	10136
3	6351
4	4591
5	3610
6	2933
7	2424
8	2223
9	1879
10	1646
11	1532
12	1461
13	1334
14	1250
15	1154
16	1091
17	1063
18	1019
19	991
20	908
21	863
22	904
23	824
24	884
25	810
26	793
27	731
28	782
29	714
30	710
31	687
32	729
33	697
34	722
35	722
36	718
37	699
38	735
39	755
40	722
41	794
42	780
43	856
44	904
45	941
46	1090
47	1282
48	1653
49	2278
50	5841
51	10850
52	2977
53	139
54	72
55	47
56	45
57	37
58	19
59	23
60	13
61	18
62	18
63	16
64	13
65	8
66	12
67	3
68	9
69	3
70	5
71	7
72	10
73	3
74	7
75	3
76	7
77	6
78	4
79	2
80	2
81	5
82	5
83	2
84	5
85	5
86	5
87	3
88	2
89	8
90	1
91	4
92	2
93	3
94	2
95	8
96	2
97	1
98	3
99	2
100	3
101	2
102	5
103	2
104	2
105	1
106	2
109	1
111	1
114	1
