"GO.0043226"	"GO.0043231"	"GO.0005623"	"GO.0044424"	"GO.0044464"	"GO.0043229"	"GO.0005622"	"GO.0043227"	"GO.0044446"	"GO.0005634"	"GO.0044428"	"GO.0044422"	"GO.0070013"	"GO.0043233"	"GO.0031974"	"GO.0016604"	"GO.0005654"	"GO.0031981"	"GO.0032991"	"GO.0005737"	"GO.0044444"	"GO.0044451"	"GO.0005829"	"GO.0006807"	"GO.0008152"	"GO.0034641"	"GO.0031967"	"GO.0006139"	"GO.0005730"	"GO.0031975"	"GO.0044237"	"GO.0044238"	"GO.0043232"	"GO.0005739"	"GO.0005635"	"GO.0016607"	"GO.0044260"	"GO.0044429"	"GO.0031966"	"GO.0043170"	"GO.0005740"	"GO.0000785"	"GO.0031965"	"GO.0005759"	"GO.0030529"	"GO.0005793"	"GO.0044445"	"GO.0005774"	"GO.0090304"	"GO.0042470"	"GO.0005741"	"GO.0005488"	"GO.0000786"	"GO.0043234"	"GO.0005758"	"GO.0005813"	"GO.0044437"	"GO.0031970"	"GO.0005815"	"GO.0044455"	"GO.0016605"	"GO.0019866"	"GO.0009058"	"GO.0005840"	"GO.0003676"	"GO.0044249"	"GO.0031090"	"GO.0016070"	"GO.0044448"	"GO.0015630"	"GO.0003924"	"GO.0031968"	"GO.0033116"	"GO.0005625"	"GO.0030496"	"GO.0032155"	"GO.0030120"	"GO.0015934"	"GO.0019867"	"GO.0051082"	"GO.0005694"	"GO.0071013"	"GO.0005637"	"GO.0022626"	"GO.0032154"	"GO.0046907"	"GO.0035770"	"GO.0030176"	"GO.0010467"	"GO.0035097"	"GO.0016234"	"GO.0006996"	"GO.0031301"	"GO.0005770"	"GO.0051649"	"GO.0017111"	"GO.0043933"	"GO.0031227"	"GO.0071339"	"GO.0005652"
"HaibTfbsA549Atf3"	113.578622813641	89.1869067715689	99.464114064157	161.05621463182	100.246615934235	114.553307237432	159.194993987805	89.9685719376508	125.332123916028	71.3398609968398	81.4850383172771	121.897068871916	61.8359451316209	70.407667593803	70.9465920869927	13.7229204378067	70.8123322944639	74.1801027350598	80.345908297185	96.9900753841502	76.218308666572	35.4810790217456	109.146984239434	71.53488637463	117.533220964036	68.0209378388966	17.566215204291	70.6703223935727	5.70522541519436	11.5680458628586	122.768703361897	120.149570348085	66.4497926047487	1.57807491349196	29.8374382153276	0	67.0545566074418	0	0	69.433037442438	0	38.4493075137553	29.2791400871555	0	14.1340344540443	8.6565179043901	6.55054597783765	13.7017569629442	41.9852956302375	5.67305387146178	0	106.501930200736	72.9957815109335	42.6046360384497	0	0	10.1995913886953	0	4.91440567347085	1.02437328224261	15.2126151395364	0	18.9219483580375	8.98323428189875	13.107097988609	22.8199373660002	17.4799284505683	29.4457681871041	0	7.27632685086775	8.5820245554281	0	16.1606245180237	27.2141967689543	5.39790524266313	4.40443831057929	5.03450246245947	9.00578939636597	0	2.67512421013117	15.8383925762143	0	5.79615996898948	4.57574537330527	5.61435145237072	33.920033307267	0	0	21.3227432733903	0	0	38.5445596818563	NA	0	49.7254905544465	7.82237141377698	71.082789678307	0	0	1.22084636552756
"HaibTfbsA549Bcl3"	136.600713044495	102.348550377495	125.376001539206	211.541912723623	126.320556141359	136.880613828875	211.178867104874	103.360000017963	126.166188201045	78.0736773443671	87.0306346686569	121.364494629157	73.9802819311451	85.1174705477157	88.8249952573103	8.64488907237838	64.2030175177888	83.5209154184935	113.797841855231	156.862264321236	126.644693771262	20.1246447436717	162.436133840307	110.023905717334	158.39492233393	102.41956076981	13.0293180331321	103.094141158249	17.3273544013135	7.4362224368892	169.705412007828	154.109277038947	79.8486794910927	13.3383097655439	5.5298895895262	9.49131287071127	67.9702338476367	6.91171039013286	1.48759778458417	67.027401808863	3.0531921210558	0.354665535581196	2.52458592246363	0.86542914315809	68.4202369528227	9.53269988323313	37.4608969337021	7.34321434199703	53.1446021177646	1.34670448534628	0	118.672982883635	0	56.0019320242532	0	0	6.3031262463849	0	2.65619274588331	2.34059032913888	0	8.71326099645052	45.7148704020731	48.3016755276037	6.33476701675391	47.0873213213811	9.48133485992213	38.886747169815	4.32935145552903	7.04199823899641	11.1064921590502	NA	18.9967927239705	43.4882366801896	1.4782938672571	8.54354332693909	0	40.7040392451558	NA	0.633832969898472	0	0.0294709331021503	9.27688132330623	48.4769948457571	9.40263457067219	42.2460440969018	0	6.00258818601792	29.2090185025283	0	0	30.7335800905762	0	0	59.4270290250119	3.75099275846856	76.1144479752768	2.38695610427369	1.45802626605073	5.87379031737075
"HaibTfbsA549Creb1sc240"	195.947396782106	154.226452195739	103.071092279225	322.820684130012	104.36036889789	201.188317731252	333.924043644405	154.952353005339	101.869321121448	95.8000625549466	94.1531520992948	94.6478168367342	95.8837263203009	90.2535253536609	94.0771009794316	27.3079424599184	60.2607456448169	82.3440700651334	46.9583509719146	57.0713186305799	67.4271456936999	10.6583152621864	108.987525893893	76.332118965668	95.6961108203955	78.4587461349271	23.8390809135959	94.7445799727104	15.386918850931	14.6429286044918	124.133350253899	88.2931729372605	19.948345139735	51.6673470915725	1.21206882214734	17.2893554096021	57.5756949456403	21.6673189006818	17.1943538641618	39.9256021857374	18.4461734390234	10.2373503965853	1.01798851907452	12.2688946673626	63.1058538006966	6.1734004182882	4.31636249728005	2.13044014265165	62.7191870901377	6.61559325650865	4.66834153546423	22.5315889287146	5.83010142529865	11.7509644038011	3.49778581808849	4.39583189021075	0.14897088482464	2.14148717265172	5.51045643984718	10.6813302483103	0.413339479756511	15.4032809164927	14.8632499956188	25.8060741610204	2.05120322254297	17.1577536060828	0.20989223905639	36.9763420443458	5.14432635661019	0	12.4447215357248	0.666932799617334	0.979140280129766	17.8568031931002	0	9.49705131612573	0.656668685390412	16.0021062228547	1.02888204910383	37.976341642966	16.9643424971878	11.0906825611978	1.10275857263553	8.55373529524876	7.81555491248199	60.4996118782833	0	0.767066955039345	26.2966818470835	4.71072883238363	0	31.9527853590894	0	0	36.0189573496148	0	13.6536264299103	0	9.9332587493318	7.72227402628112
"HaibTfbsA549Ctcfsc5916"	254.532757342073	182.92881235243	411.904141417266	399.697781963098	413.99543686734	255.605138417627	423.702952565451	182.283401039655	192.74153445392	51.0106829522245	44.3939239798387	183.093351531164	44.987748306031	48.2147763464299	51.9562521013772	1.73273386633771	25.7830174283877	29.8936991928675	110.142118647154	326.149252849748	276.221238290612	15.4371182223455	152.59203855503	60.0068577770164	187.756636856781	52.8769697296014	42.580829172976	48.3568855262441	6.27783068578054	28.715352464383	170.215443699669	159.754717418627	60.2258488556845	73.341228372413	20.7986216950784	2.7517253244263	36.6653640529475	29.038481096797	19.97903825966	53.9849691629442	20.9418087375026	0.903906484212913	7.15029446542508	14.9642861481235	16.5216554253681	0	0	26.6870599656295	10.305823262323	5.36698322008262	8.3595588722271	266.626215085008	3.76205247885185	82.7307106821089	4.06922316352485	3.3440765851964	23.52708800446	2.47172317494459	6.11576688732566	0.493925898626642	0	11.2748901484579	29.8997421246155	4.3428428452792	0	28.2781711720828	71.8773234564686	9.77726926056534	22.5750785412634	10.3133535302809	21.6131184074166	7.04187941867507	0	40.8272490335801	4.55868839835661	13.2616536060539	0	4.89455290371763	7.1018688086113	0	0	0	0	6.86433761612555	12.1866638212544	36.0362955440823	1.74415114601475	12.1840110031037	5.89636420750039	1.44425106998313	0	31.5256561717555	6.96766707991575	18.9553836752602	65.7551075323274	18.3356771311731	16.6843476599804	13.8353083472722	4.29208209694251	0.330206904866782
"HaibTfbsA549Elf1"	153.869613884385	126.788124227344	52.8683147230428	220.524269736382	53.5629934407341	155.539321816162	228.739996594832	128.146114971608	90.570928928466	98.1162144848894	92.4693208125167	86.1465539096202	74.5292889707422	73.4326088231268	77.6668382938908	26.5311636028742	58.3525404533365	79.4307765111822	53.4768781310012	26.9953478695681	31.9180678071383	9.05108019645413	71.1128610892178	93.5821116598876	83.0121605590927	97.760752518874	24.3373165216006	117.842972833513	27.8119005131347	15.9783571871196	108.467250559696	83.4328551361043	18.5663774925021	16.9307802552138	9.19311950593186	15.5428872056753	69.8404685712399	8.89044912911837	8.19048850235408	52.4049509541736	9.47111310360422	0	3.79472675489909	0	77.1055646135255	5.75359160779823	26.7700697474878	10.722805396762	91.6147684917435	3.56341682659814	0.690644315341862	20.9012327688967	6.85062286548019	10.0591360201544	2.94595364569484	0	7.95345135590578	0	2.83960172638676	12.5981391176035	0	10.0871063503835	10.684105997636	37.8999164903675	27.4915131188382	13.465312242176	0	62.8995001754331	4.06370323932141	0	4.63090490137902	0	9.86623724088797	9.3158070043753	0	12.1533610374252	0	19.9924125512114	0	9.46717088592298	3.90543922614494	23.533121048679	1.15701447567332	35.1187918738494	11.5813779824747	52.5226006045877	0	0	50.5010886995673	4.08361651406747	0	31.1939924105646	0	4.12606497706569	28.9022914439417	3.51854782340078	32.3195933458471	0	4.97042872090887	3.20144389761891
"HaibTfbsA549Ets1"	138.209393458589	136.407644452937	32.8387497950321	185.469800153905	33.2891446091698	139.13658731214	190.266536694722	138.668467583971	78.5435578387037	100.815502921081	68.4340371272698	73.4742058713574	78.46445839804	74.836066356061	79.645758679227	29.3771691821852	51.9992570871657	66.7848358270591	50.4873664302036	8.15674288314252	16.2814274990202	9.09085301172863	40.2182508187158	111.100071736055	92.2877746150161	114.331316465626	29.4280731661875	136.411156180034	22.1961818328335	21.7816856732143	121.872971154736	105.295175590726	15.6275353895339	28.4257683360523	9.22312201019997	9.55778320614567	115.344986361686	21.3514895079863	13.6794484951884	94.0847926636872	14.022196162332	14.1267798341959	10.6738462856076	7.83617729826718	98.6122956342704	6.51399439890598	27.4870090875428	8.52195651806531	124.656753279785	0	1.75971560198011	5.52713423071071	65.4066720959505	0	3.59838740835272	0	5.73837267719057	0.951219448834557	1.75661049590637	23.1352092037732	12.6478745093974	21.8829391801539	26.2252773761719	67.2543860659807	52.6681518880563	31.7344831159555	0	87.646131982926	0	0	0	0	6.20097051444381	1.26904266660021	0.594362860756488	0	0	41.7207877464613	0	11.4185957656799	10.5108222411487	21.3116736146992	3.80369295321155	52.2838839807848	0	25.9266423646154	0	0	88.4000298194974	1.5611459675934	0	15.0021897623252	0	0	7.6858304809521	0	65.4510818602326	0	9.49678094873609	0
"HaibTfbsA549Fosl2"	423.429873393291	342.792986221558	528.70521988109	643.068913165234	530.513090601725	422.29253276899	657.205141117121	345.402473506132	318.364296341217	197.880440034595	178.7919838521	311.961406315083	150.63723875676	181.644945921458	185.206969030435	18.2713241086436	151.050168059485	154.953221349287	277.635947912599	652.588019271419	435.41337598746	84.5405863784051	440.058635785743	171.979869985913	421.582788368901	155.837460253581	32.0949087770828	151.26559621778	18.7472554233901	17.330631009545	411.411226881937	424.430731398647	194.429781506315	66.2542792707912	35.6421626608963	18.5900102244572	162.608916137344	11.4178325815003	1.79627484822536	190.288878764791	2.95990751243174	20.7137978005964	14.8232126051026	5.89227245713053	8.2970962763888	17.9350658569799	11.4586967830512	9.01334040540349	50.3131518535389	6.17031278287116	14.1882883162416	531.656737415042	7.19361288345493	262.472324816847	0	0	13.5857163712347	0	8.93070080393634	0	0.103079785168694	0	79.9377411744254	3.88344818228092	6.67833228470265	79.9428521128198	61.3649922360614	NA	21.234638110098	28.478522296984	62.6121887746123	10.5118638975793	14.1617950981649	115.207866240246	2.2012196470104	29.6908247497601	3.6587969055563	6.7038728376111	10.1096144616523	5.72605599810356	0	NA	10.8396341131216	2.92128847208296	24.8292480547537	125.415349941762	1.69489449873743	17.0290536272828	NA	0	0	109.272042040464	9.37544688166802	4.52802119955182	176.515640691118	49.6870754291918	96.4845731219645	11.5040351016248	0	14.6144490136122
"HaibTfbsA549Foxa1"	152.66489676027	131.276247018129	164.964580583461	219.479690727331	166.01961620724	151.951649153481	235.26880665061	132.442130486868	92.9069183743458	96.9207196551983	59.8909561832335	89.7664007750646	55.8267573241738	63.1148851727533	64.2916064071601	1.69780529929879	46.0101051255491	60.021037017509	40.4371499500639	181.119948725812	109.715217708303	27.2347649469057	134.634393625263	79.0361715183158	171.266435593378	73.4836065785523	4.81489097697019	62.7585037784463	7.08673076013631	0.511443481267298	172.736914326782	140.892881133855	57.5002047479348	26.4740691669225	3.45265289973357	0	72.1161577006938	0	0	56.0922171960132	0	19.241047620723	2.08715279713429	0	NA	0	0	0	36.1829729503563	0	3.60728287739737	160.384236560433	0	47.9269155493798	0	4.25728193219506	0	0	7.41011765064604	NA	0	0	56.9508437492738	0	9.45117219241801	54.6975691170005	17.397439840593	37.2110216619194	0.893263407545934	13.8031542129947	NA	3.36980191760245	0	34.1828503313128	0	0	0	0	5.20699293748745	NA	1.96571079435346	NA	0	NA	0	33.799374643034	NA	NA	25.9212427874777	0	NA	21.0841337017622	0	0	47.0168278569415	0	16.8273821728473	NA	0	0
"HaibTfbsA549Gabp"	202.982353052304	173.732986311708	113.016802140299	308.298546785293	114.187112951998	205.313790004429	314.411576971128	175.02058405834	121.64429982084	125.442230392098	123.215063555885	117.418156782818	104.782804875835	105.279330861859	110.786231741725	32.1783942031904	77.7441454658894	106.184616356503	90.6545628201852	52.9268641095962	66.6245729187195	24.1137862211485	94.2106950928062	109.438441919745	126.458046034825	112.47463194861	32.1426454048169	135.464354821419	45.2153053467053	21.0765229141661	145.895068747482	129.162903804686	37.5146195743186	33.0575048639736	13.4717591645189	14.8204494601892	102.281274172086	18.9914848129352	11.0017277104535	92.6892875362289	12.5977890023623	4.4960924876222	11.0321080163987	7.21663892479901	112.600286458397	18.2856508496425	40.6084399170789	1.37083408939432	101.7022594617	0	0.294463816582133	43.1711644117908	6.8460253858502	26.3865112536729	5.7351697415208	0	0	0.015136582235706	2.69396506401775	15.2149071800543	4.8043961810881	18.6085797458163	19.8935997931993	62.5811691280799	34.1660555773288	24.4144110559681	3.73670088765444	74.844834006373	0	0	7.61389996231156	0	18.8689592030155	9.19908495252768	1.61994946574313	7.59677060741189	0	47.1559095737839	0	16.0111210386556	5.72583822432732	21.3745857044881	6.03081138021405	45.0641049343141	7.82559796451361	69.9732502756482	0	0	72.9847444848474	0	0	31.2643795849465	0	0	40.4505211172354	7.83227754718343	42.5451170629227	0	7.69712661689667	3.37366120607577
"HaibTfbsA549Gr"	11.2654616630667	5.25347058635476	23.9007775742533	21.7115886970299	24.055781915654	11.8052718651722	22.4698439315744	5.16000429937277	6.13513493752502	3.54323156361949	2.76504286397373	5.05753981221418	0.997988704576618	3.08815243349165	3.19929822288832	0	5.65544298345315	1.56635830823343	4.92306338673313	10.2646852802882	1.59140744271728	0	13.8511176321826	9.95901273611712	12.0759251217374	9.91087779321843	0	6.74828449034919	0	0	13.1038586508406	8.86312109225833	3.87610437276214	0	0	0	0	0	0	0	0	0.91426129257987	0	0	0	2.13845466266152	0	0.0671777341316568	0.90602584653804	0	0	15.2321152716689	11.698184772732	0	0	0	0	0	0	0	0	0	0	9.30276590637357	0	0	0	1.71409867297765	0	0	NA	0	16.7344067981953	3.55346678220552	0	0	NA	17.1616111327719	0	0	0	0	NA	0	0	2.89806287888687	NA	NA	0	0	0	NA	0	0	8.50097984101181	NA	8.60516739541143	NA	0	0
